id,likes,following,followers,posts_amount,celeb,pic_vid,hashtag,hashtag_amount,pCo,content,post_date,curr_date,predict
CeGPXGrpRQM,1249,352,80500,964,0,0,,0,fashion accessory jewellery bling-bling body jewelry ,Diamonds are considered the world s most precious gemstone and selecting the perfect diamond begins with understanding the varying characteristics and quality factors each uniquely presents The 4C s carat cut colour and clarity are primarily used to determine the visual attributes quality and overall value of a diamond but prioritising what is most important to you is a personal preference ,6d,03-06-2022,0
CeLAyj6t9WN,9219,941,101000,2043,0,1,cakevideo 80scake 80s 80saesthetic caketutorial cake cakedecorator cakedecorating buttercream tiggamac okiedokie ,11,human face smile person fashion accessory clothing text , 80 s CAKE One of my all time favourite birthday cakes from start to finish Buttercream coloured with mill USE CODE OKIEDOKIE10 for discount Black paint is paint powder and activator from USE CODE TIGGAMAC for discount aesthetic decorator decorating ,4d,03-06-2022,0
CeV1CKYr40o,582,427,17000,604,0,0,,0,outdoor cloud sky tree palm tree ground beach ,Wishing you a joyful weekend ,5h,03-06-2022,0
CeG1GPJMecE,7516,365,9632,85,0,0,,0,clothing outdoor swimming pool person building , ,6d,03-06-2022,1
CeUUlqvPxuN,564,914,7800,411,0,0,,0,drink birthday cake ,CAKE CAKE CAKE The first cake was a gift for my little bro so good to catch up with family last weekend 2 for a carpenter turning 90 3 for a Bluey fan 4 5 for a mountain biker who also likes taking his sister on his bike 6 for a Harry Potter themed baby shower 7 8 lollies with matching cupcakes 9 for my cute little nephew turning one 10 Pikachu ,19h,03-06-2022,0
CeVCWQ1uvs5,5551,2131,30500,65,0,0,,0,text person monitor video indoor computer human face wall ,Beach party time Crazy lit ,13h,03-06-2022,0
CeSO8JmM4oP,15223,781,77100,646,0,0,nails nailart nailschile manicure manicurechile esmaltepermanente uñaschile uñas nailartist chile blueskynails nailschile🇨🇱 seducetecl ,13,cosmetics nail polish accessory nail care enamel manicure nail artificial nails toiletry gloss glitter ,Mitad de semana e inicio de junio les dejo estas uñitas que amé igual que todas para Camila Inspo Anillo de AGENDA ABIERTA chile chile ist chile ,1d,03-06-2022,0
CeRMSt6Ix1r,54,350,2076,742,0,0,עוגותמעוצבות קאפקייקס קאפקייקסמעוצבים עוגתמספרים פריךשקדים מקרון מקרונים נשיקות נשיקותמרנג קינוחים rainbow פודיז יוםהולדת ימיהולדת אירועים מתוק מתנה חגים עוגות מארזים מגנום macaron macarons macaronlover macaronslovers macaronstagram ilovemacarons ,27,dessert food snack , מעוצבים מרנג s lover slovers stagram ,2d,03-06-2022,0
CeLkSqWqXKx,5461,444,8397,438,0,0,torta svadobnatorta lucnatorta cake weddingcake wedding simplicity natural dnesvadbujem laskajesladka janapeciem zilina ,12,wedding cake cake stand cake decorating birthday cake sugar cake cake , Z Ľ ,4d,03-06-2022,1
CeNVM0Ko4Lv,369,1120,16300,379,0,0,architecture architecturelovers archilovers archdaily interior interiordesign interior123 style stylish styling lifestyle decor homedecor design home homedesign house houses art furnituremaker farmhouseexterior farmhousedecor farmhousestyle farmhouse modernfarmhouse luxury bedroom masterbedroom mastersuite classic ,30,indoor interior design wall pillow bed floor window treatment cushion nightstand , K HOUSE lovers design 123 design s ,3d,03-06-2022,0
